0.000000000000e+00 9.500000000000e-05 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
5.000500050005e-04 9.088378092026e-05 4.116194139741e-06 2.493997433541e-11 2.675256553220e-17 9.767393171242e-24 1.561115491054e-22 1.113755291701e-25 1.854939245381e-28 2.893928430876e-32 7.194565065328e-39 3.215278535471e-46
1.000100010001e-03 8.493570886545e-05 1.006393891531e-05 3.522170661029e-10 2.174081166876e-15 4.582112864766e-21 5.195588825734e-20 1.039742703933e-22 3.452021156357e-25 1.576902592391e-28 2.247765465439e-34 5.920807118154e-41
1.500150015002e-03 7.903235296859e-05 1.596611441008e-05 1.532595399004e-09 2.593020583196e-14 1.504143040215e-19 1.369085320116e-18 5.047120223961e-21 2.420197241027e-23 2.148705978429e-26 8.311525350379e-32 6.149977371236e-38
2.000200020002e-03 7.348427759700e-05 2.151150377284e-05 4.218484064974e-09 1.460781552788e-13 1.742425646939e-18 1.325295927019e-17 7.643490139255e-20 4.675716987925e-22 6.847665999400e-25 5.375066969862e-30 8.372212346215e-36
2.500250025003e-03 6.836773631741e-05 2.662317281291e-05 9.090319361255e-09 5.502332347703e-13 1.152661431220e-17 7.491294749531e-17 6.173902678581e-19 4.523994005111e-21 9.936002561011e-24 1.351138566502e-28 3.771460772707e-34
3.000300030003e-03 6.368995210916e-05 3.129323952137e-05 1.680675960023e-08 1.609510874668e-12 5.361675345713e-17 3.025434977396e-16 3.359249141743e-18 2.843980962324e-20 8.792700107174e-23 1.880844570820e-27 8.525497758743e-33
3.500350035004e-03 5.943277732093e-05 3.553925201788e-05 2.796670654060e-08 3.953464206441e-12 1.954576811545e-16 9.701833069001e-16 1.390990205498e-17 1.329696281612e-19 5.523761839852e-22 1.740192794520e-26 1.197056600893e-31
4.000400040004e-03 5.556831487835e-05 3.938859262353e-05 4.308395339646e-08 8.541440128140e-12 5.959022875835e-16 2.630471243643e-15 4.717800360864e-17 5.015229205433e-19 2.705291838878e-21 1.201161690582e-25 1.201727351273e-30
4.500450045005e-03 5.206556675171e-05 4.287184197917e-05 6.257454556763e-08 1.671556197481e-11 1.579939132507e-15 6.267711684460e-15 1.368780438009e-16 1.598167709098e-18 1.084147457264e-20 6.493789207459e-25 8.984434431770e-30
5.000500050005e-03 4.889340519761e-05 4.601981192473e-05 8.675261199260e-08 3.024806697085e-11 3.752542168345e-15 1.349666775702e-14 3.514175124625e-16 4.466308921130e-18 3.719536098842e-20 2.914301110262e-24 5.391701772248e-29
5.500550055006e-03 4.602204291428e-05 4.886206988541e-05 1.158358061452e-07 5.135841358846e-11 8.148256436384e-15 2.677796268376e-14 8.169205005078e-16 1.122117910961e-17 1.124929487696e-19 1.125544197441e-23 2.715535400160e-28
6.000600060006e-03 4.342362720249e-05 5.142633623918e-05 1.499537730917e-07 8.271739303225e-11 1.642121685535e-14 4.965368639287e-14 1.748835601394e-15 2.580642359256e-17 3.062256019000e-19 3.831259217484e-23 1.178087441187e-27
6.500650065007e-03 4.107246810286e-05 5.373824550239e-05 1.891588387280e-07 1.274344019477e-10 3.107623396875e-14 8.699306345452e-14 3.493350224171e-15 5.509975912917e-17 7.631055747247e-19 1.173580363079e-22 4.516475213727e-27
7.000700070007e-03 3.894506024635e-05 5.582131324634e-05 2.334372691596e-07 1.890305048452e-10 5.572695879299e-14 1.452274262147e-13 6.577055168191e-15 1.103856496883e-16 1.761936619965e-18 3.277187459247e-22 1.549384342496e-26
7.500750075008e-03 3.701999979783e-05 5.769700789044e-05 2.827205715574e-07 2.714002021488e-10 9.539556288654e-14 2.325859759734e-13 1.176846708390e-14 2.093694390446e-16 3.811837445120e-18 8.470934351347e-22 4.863128125140e-26
8.000800080008e-03 3.527785642282e-05 5.938486889299e-05 3.368953803563e-07 3.787671727982e-10 1.568171297474e-13 3.593002608128e-13 2.014475513605e-14 3.785878883887e-16 7.788612378995e-18 2.043400922146e-21 1.405433361054e-25
8.500850085009e-03 3.370102428861e-05 6.090264678391e-05 3.958124727799e-07 5.156342939437e-10 2.487624632741e-13 5.377890871828e-13 3.316705287549e-14 6.563959093072e-16 1.513233450590e-17 4.637232030716e-21 3.776877263643e-25
9.000900090009e-03 3.227357087248e-05 6.226644642024e-05 4.592947568553e-07 6.867313213336e-10 3.823645451469e-13 7.828184786612e-13 5.276115074675e-14 1.096453961124e-15 2.811247987726e-17 9.962416712713e-21 9.498550930005e-25
9.500950095010e-03 3.098107379710e-05 6.349088270055e-05 5.271447800720e-07 8.969558632851e-10 5.714750344296e-13 1.111642920121e-12 8.141196272434e-14 1.772235327443e-15 5.022686701806e-17 2.044114555118e-20 2.269131424867e-24
1.000100010001e-02 2.981050347778e-05 6.458919318524e-05 5.991495060303e-07 1.151328721150e-09 8.329270448600e-13 1.544083575865e-12 1.222387508723e-13 2.781006404701e-15 8.661123355367e-17 4.017077013967e-20 5.146967108307e-24
1.050105010501e-02 2.875009139670e-05 6.557336479442e-05 6.750853932775e-07 1.454942510463e-09 1.186833222040e-12 2.102599687008e-12 1.790849150695e-13 4.248910732082e-15 1.446168395934e-16 7.586548665292e-20 1.112005672730e-23
1.100110011001e-02 2.778920250079e-05 6.645425690010e-05 7.547229556771e-07 1.812910760645e-09 1.656874186242e-12 2.812335595215e-12 2.566109443883e-13 6.336689861600e-15 2.345379698724e-16 1.382228563410e-19 2.299725359379e-23
